Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
500 Global,TRUE,./images/funds/rechDQJRRARuN00is.jpg,logos/500_Global.jpg,https://www.linkedin.com/company/500global/,https://500.co/,,,VC,"814 Mission Street, San Francisco, CA 94103

+
−
Leaflet",,,,,,"We invest in companies in markets where technology, innovation, and capital can unlock long-term value and drive economic growth.",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,,150000,2500000,$150k to $2.5M,"USA; Mexico; India; Pakistan; Colombia; Brazil; Afghanistan; Albania; Algeria; Angola; Andorra; Antigua and Barbuda; Armenia; Argentina; Australia; Austria; Azerbaijan; Bahamas; Bahrain; Barbados; Bangladesh; Belarus; Belgium; Belize; Benin; Bhutan; Bolivia; Bosnia-H; Botswana; Brunei; Bulgaria; Burkina Faso; Burundi; Cabo Verde; Cambodia; Cameroon; Canada; Central African Republic; Chad; Chile; China; Comoros; Congo (Congo-Brazzaville); Costa Rica; Côte d'Ivoire; Croatia; Cuba; Cyprus; Czech Republic; DRC Congo; Denmark; Djibouti; Dominica; Dominican Republic; Ecuador; Egypt; El Salvador; Equatorial Guinea; Eritrea; Estonia; Eswatini (fmr. ""Swaziland""); Ethiopia; Fiji; Finland; France; Gabon; Gambia; Georgia; Germany; Ghana; Greece; Grenada; Guatemala; Guinea; Guinea-Bissau; Guyana; Haiti; Holy See; Honduras; Hong Kong; Hungary; Iceland; Indonesia; Iran; Iraq; Ireland; Israel; Italy; Jamaica; Japan; Jordan; Kazakhstan; Kenya; Kiribati; Kuwait; Kyrgyzstan; Laos; Latvia; Lebanon; Lesotho; Liberia; Liechtenstein; Lithuania; Luxembourg; Lybia; Madagascar; Malawi; Malaysia; Maldives; Mali; Malta; Marshall Islands; Mauritania; Mauritius; Micronesia; Moldova; Monaco; Mongolia; Montenegro; Morocco; Mozambique; Myanmar; Namibia; Nauru; Nepal; Netherlands; New Zealand; Nicaragua; Niger; Nigeria; North Korea; North Macedonia; Norway; Oman; Palau; Palestine; Panama; Papua New Guinea; Paraguay; Peru; Philippines; Poland; Portugal; Qatar; Romania; Russia; Rwanda; Saint Vincent and the Grenadines; Samoa; San Marino; Sant Kitts and Nevis; Sant Lucia; Sao Tome and Principe; Saudi Arabia; Senegal; Serbia; Seychelles; Sierra Leone; Singapore; Slovakia; Slovenia; Solomon Islands; Somalia; South Africa; South Korea; South Sudan; Spain; Sri Lanka; Sudan; Suriname; Sweden; Switzerland; Syria; Taiwan; Tajikistan; Tanzania; Thailand; Timor-Leste; Togo; Tonga; Trinidad and Tobago; Tunisia; Turkey; Turkmenistan; Tuvalu; Uganda; UK; Ukraine; UAE; Uruguay; Uzbekistan; Vanuatu; Venezuela; Vietnam; Yemen; Zambia; Zimbabwe",Vijay Rajendran (Portfolio Success); Kristen Cooper (Other); Pedro Vieira (Partner); Oksana Vodonos (Associate); Anna Saltykova (Portfolio Success); Demola Adegbite (Partner),1,fund/500%20Global,,,,,,
Faber,TRUE,./images/funds/recvQUclFdoHPMQDz.jpg,logos/Faber.jpg,https://www.linkedin.com/company/faber-vc,https://faber.vc/,"Faber is a Lisbon-based venture capital firm investing in outstanding entrepreneurs who innovate at the intersection of science and technology to drive digital transformation and climate action.
Faber combines a specialist focus on deep tech early-stage startups with dedicated funds, investment teams and expert advisors to actively help founders.",,VC,"Praça da Alegria, 1, 2nd floor, 1250-004 Lisbon

+
−
Leaflet",,,,,,"We invest in early stage B2B, deep-tech focused teams, who want to drive digital transformation (with AI/ Data) and climate action (with special focus on the ocean), with potential for scalable distribution and global footprint with a preference for teams with a presence in Southern Europe.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,,100000,2000000,$100k to $2M,Austria; Belgium; Bulgaria; Croatia; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Portugal; Romania; Slovakia; Slovenia; Spain; Sweden,Inês Pinho (Associate),1,fund/Faber,https://www.twitter.com/faber_vc,,,,,
Smartfin,TRUE,./images/funds/recWdZo2WWc86vSG0.jpg,logos/Smartfin.jpg,https://www.linkedin.com/company/smartfinvc/,https://www.smartfinvc.com,We invest in promising B2B technology companies across Europe,Our complementary team combines a successful private equity track record and exceptional entrepreneurial experience.,VC,"Brussels, Belgium",,,,,,We invest in promising B2B technology companies across Europe that have achieved initial signs of product-market fit.,3. Early Revenue; 4. Scaling; 5. Growth,,1000000,20000000,$1M to $20M,Belgium; Denmark; Finland; France; Germany; Italy; Luxembourg; Netherlands; Spain; Sweden; Switzerland; Turkey,Harry Haeck (Partner); Toon De Neef (Associate); Thomas Depuydt (GP/MD); Jean-Baptiste Maenhout (Associate); Tom De Bondt (Associate),1,fund/Smartfin,,,,,,
Kelston Smith,TRUE,./images/funds/recbhS50kM0yD9b50.jpg,logos/Kelston_Smith.jpg,https://www.linkedin.com/in/kelston-s-581b173/,https://www.plantec.io/,,"Three core areas of focus:
• Tech Studio: Supporting early-stage founders (cash or sweat equity)
🔗 plantec.io/studio
• Advisory & Tech resource services
🔗 plantec.io/scale-up
• Direct investments & FO/VC mandates
🔗 plantec.io/investment",Solo angel,"44 Great Cumberland Place, Marylebone, London, W1H 7BS

+
−
Leaflet",,,,,,"I invest in the founders and a strong team, typically with the MVP and some transaction albeit some MRR depending on the industry. Typical disruptive concept or B2B, Web3, Climate, FinTech, Telco or creative economy and AI.",3. Early Revenue; 4. Scaling; 5. Growth,,5000,100000,$5k to $100k,Ethiopia; Ghana; Nigeria; Rwanda; Canada; USA; Estonia; France; Germany; Greece; Ireland; Italy; Portugal; Spain; Sweden; UK; Kuwait; Qatar; Saudi Arabia; Turkey; UAE,,1,fund/Kelston%20Smith,,"Plantec combines creative software expertise with a full-service venture studio model — supporting everything from concept development to delivery. Some clients engage for advisory work, others for technical builds, and in certain cases, Plantec invests directly or supports fundraising efforts via its FO and VC mandates.",,,,
Severin Hämmerl,TRUE,./images/funds/recqrIkofeb4Oz3xp.jpg,logos/Severin_Hämmerl.jpg,https://linkedin.com/in/haemmerl/,https://trinityimpact.org/vc,,"On your side (as a fellow human)…
Early-stage startup support
Actionable Network",Solo angel,"Munich, Germany",,,,,,"I invest in seed-stage, deep-tech startups
> with extraordinary net-positive impact on climate, health, and society.
& partner with founders
> who also want to see brokenness restored and all of humankind flourish, while striving to balance huge ambitions with humility.",1. Idea or Patent,,5000,10000,$5k to $10k,Germany,,1,fund/Severin%20H%C3%A4mmerl,,Severin,,,,
Lukkap Venture Lab,TRUE,./images/funds/recMaAujdPSjRs8b1.jpg,logos/Lukkap_Venture_Lab.jpg,https://www.linkedin.com/company/lukkap/mycompany/,https://www.lukkap.com/venture-lab/,"We are a VC fund born inside a consulting firm. That is why we not only offer investment, but also provide (for free) our human capital (consultancy partners, directors and managers) and our consultancy network.","We help in 4 ways:
1- Money, as every other VC (tickets of approximately 150k)
2- Consulting firm resources, meaning guidance from top partners, directors and managers with specific expertise in different fields or business challenges
3- Consulting firm network, connecting our extensive base of clients and partners with our startups (C-level executives from all kind of companies)
4- Central services, helping with recruitment, finance, accounting...",VC,"Paseo Castellana 82, 1A, Madrid, 28046, Spain

+
−
Leaflet",,,,,,"We invest in early stage startups that have already developed a product with a market fit. Our pre-money valuation limit is around $4M.
We invest in all kind of industries, except crypto, web3 and similar.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,50000,150000,$50k to $150k,Spain,,1,fund/Lukkap%20Venture%20Lab,,,,,,
Stephen Industries,TRUE,./images/funds/reclLTDW5YReCB3zA.jpg,logos/Stephen_Industries.jpg,https://www.linkedin.com/company/stephen-industries/,https://www.stephenindustries.com/,"Stephen Industries is a family-owned investment company based in Helsinki, Finland. We fund companies creating innovative Healthtech, Deeptech and Greentech solutions for a better world.

Our vision has been simple since day one: to be the best in the world in what we do. The drive for excellence is deep in the nanofibers of our company.

For the first 30 years, Stephen Industries operated as an industrial holding company founded by serial entrepreneur Kustaa Poutiainen. Our journey towards global success started with subsidiary Picosun – a deep tech company that specializes in atomic layer deposition, founded by Kustaa in 2004.

Throughout the years, Kustaa raised several rounds of growth capital, growing Picosun to over 50 million euros in annual revenues. In June 2022, Picosun’s stock was sold to US-based technology giant Applied Materials Inc. The sale of Picosun catalysed a change of Stephen Industries’ operations, transforming Stephen Industries into an ambitious and experienced investment company in late 2022. In addition to Picosun, we’re currently best known for the central vacuum cleaner manufacturer Puzer and tech ventures such as Hycamite, TILT, Sooma, Fiberwood and Stemsight.","We have extensive experience of bringing a deep tech innovation to market and scaling it internationally. We are also building expertise within medical devices and related regulatory approval processes.
We don't have fixed holding periods and are thus suitable investors for companies and founders that do not want to have to plan for an exit in 3-7 years' time. Additionally we have deep pockets and can keep funding a company through its stages from startup to growth company to listed entity",Family office,"Mikonkatu 9, 00100 Helsinki, Finland

+
−
Leaflet",,,,,,"We invest in companies creating innovative Healthtech, Deeptech and Greentech solutions for a better world.",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth; 6. Pre-IPO,Sometimes,100000,5000000,$100k to $5M,Finland; Sweden; Norway; Estonia; Latvia; Lithuania; Denmark; Poland; Germany; France; UK; Spain; Ireland; Portugal; Italy; Switzerland; Austria,Tor-Oskar Karlberg (Other),1,fund/Stephen%20Industries,,,,,,
Ascendo VC,TRUE,./images/funds/rec9skLoYah4AtTmj.jpg,logos/Ascendo_VC.jpg,https://www.linkedin.com/company/ascendo-venture-capital/,https://ascendo.vc,We are a venture capital firm investing nationwide in early-stage companies led by visionary underrepresented founders. Our investment strategy targets disruptive technologies that address the needs of growing demographic segments and empower women as catalysts of economic growth.,"We are a diverse, team of investors, founders and operators, with the experience, deep networks, and cultural affinity to capitalize on this opportunity.",VC,"South Miami, FL",,,,,,"We invest in Seed to Series A
Companies led by founders from underrepresented segments.
Technology-based business driving transformation to improve access within growing demographic segments that are underserved
Industry sectors FinTech, EdTech, Future of Work, HealthTech, and Enterprise Software
Large and growing market opportunity that promotes equitable and inclusive outcomes
Post revenue",3. Early Revenue,Never,100000,500000,$100k to $500k,USA,Claudia Ortiz (Scout); Emil Chaia (Analyst),1,fund/Ascendo%20VC,,,,,,
Mehmet Talas,TRUE,./images/funds/recHhgwhQDSEKQ8SK.jpg,logos/Mehmet_Talas.jpg,https://www.linkedin.com/in/mehmettalas/,,,"Very good knowledge of the start-up ecosystem in France
10 years' expertise in start-up financing",Solo angel,"Paris, France",,,,,,I invest in SaaS B2B / AI / Data with strong team and early revenue.,3. Early Revenue,,10000,50000,$10k to $50k,France,,1,fund/Mehmet%20Talas,,Startup advisory & business angel,,,,
Earth Venture Capital,TRUE,./images/funds/recV2opUPGBdeMm3U.jpg,logos/Earth_Venture_Capital.jpg,https://www.linkedin.com/company/earth-vc/,https://www.earth.vc/,"Earth VC backs outlier founders using deep tech to decarbonize Emerging Asia and reshape industries. We invest where science meets scale, turning climate challenges into massive economic opportunities. Because fixing the planet isn’t just necessary, it’s the next big business frontier.",We actively help founder entering Asia with ease.,VC,"102 Nguyen Van Huong, Thao Dien Ward, 700000 Thu Duc City, Ho Chi Minh City, Ho Chi Minh City, VN

+
−
Leaflet",,,,,,"We invest in deep tech focusing on energy transition (renewable energy, energy storage, smart grids, green hydrogen, advanced nuclear (SMRs)
Energy efficiency, building optimization) and green manufacturing (circular economy, waste-to-value, clean chemicals, new materials), Pre-seed to Series A, $500K - $1M initial, up to $2M follow-on. Global mandate with Emerging Asia expansion potential. Expected Returns: 10-15% minimum, targeting 10x capital management, 100x value creation",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,500000,1000000,$500k to $1M,USA; Hong Kong; Singapore; Finland; France; Germany; Sweden; UK; Israel; Australia,Tam To (Portfolio Success),1,fund/Earth%20Venture%20Capital,,,,,,
J&T Ventures,TRUE,./images/funds/recBlTk9lpUKjQZp7.jpg,logos/JT_Ventures.jpg,https://www.linkedin.com/company/15185965/,https://www.jtventures.cz/,Early-stage CEE investors.,Vast connections within the enterprise world thanks to our anchor investor J&T Bank.,VC,"Sokolovská 700/113a, Prague, 18600, CZ

+
−
Leaflet",,,,,,We invest in companies at seed stage with proven product-market fit.,1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,300000,3000000,$300k to $3M,Czech Republic,Matouš Paleček (Analyst),1,fund/J%26T%20Ventures,,,,,,
Alzayani Investments,TRUE,./images/funds/recLnNA7aHlrEFYux.jpg,logos/Alzayani_Investments.jpg,https://www.linkedin.com/company/al-zayani-investments/,https://www.alzayani.com/businesses/venture/zayani-venture,"We are a well established family office in Bahrain - with 4 main verticals: Automotive, Industrials, F&B and Real Estate / Investments.","We take a strategic approach to investing, backing companies whose products and services we can adopt across our own verticals, while leveraging our extensive MENA network to facilitate client and investor introductions.",Family office,"Zayani House, Manama, BH",,,,,,"We invest in early-stage startups across MENA, UK, USA and Pakistan. We are sector agnostic and invest in any tech-focused startups.",3. Early Revenue,Never,25000,250000,$25k to $250k,Bahrain; UAE; Saudi Arabia; Oman; Kuwait; Qatar; Egypt; UK; USA; Pakistan,Meera Reddy (Associate),1,fund/Alzayani%20Investments,,,,,,
Pipeline Capital,TRUE,./images/funds/recB23vNaPuXbbadY.jpg,logos/Pipeline_Capital.jpg,https://au.linkedin.com/company/pipe-capital,https://www.pipecapital.com,We are a QLD based Venture Fund that is primarily investing in Australian (QLD) startups. We invest across a diverse set of industries with large addressable markets.,We have have a network of founders as our LP's to help our portfolio companies navigate the startup landscape and give them the advice and help they need to succeed. Our investment comes with decades of startup experience wanting to help build the next big thing.,VC,"37 Connor St, Burleigh Heads, QLD 4220, Australia

+
−
Leaflet",,,,,,"We invest across fintech, IoT, SaaS, eCommerce, and other technologies and prefer companies that have already seen product market fit, with experienced founders.",3. Early Revenue; 4. Scaling; 5. Growth; 2. Prototype,Sometimes,100000,1000000,$100k to $1M,Australia,Gregg Thatcher (Principal); Veronika Marinova (Associate),1,fund/Pipeline%20Capital%20,,,,,,
Inuk Acosta,TRUE,./images/funds/recS7TnxtMXxI6gcp.jpg,logos/Inuk_Acosta.jpg,https://www.linkedin.com/in/inuk-a-835530246/,https://onebusinessconsultantfrombarcelona.com/,,"I focus on sourcing and evaluating early-stage startups with strong go-to-market potential. With a background in GTM and business development, I support founders beyond capital while coordinating co-investments through SPVs managed via Roundtable. I also connect founders with a network of European angels and operators.",Solo angel,"Barcelona, Spain",,,,,,"I invest in companies that meet the following criteria:

- Complementary and high-agency founding team

- Clearly identified problem within a target industry and early signs of product-market fit

- Solid go-to-market approach

- Attractive valuation with upside potential",1. Idea or Patent; 2. Prototype; 3. Early Revenue,,1000,5000,$1k to $5k,USA; France; Spain; UK,,1,fund/Inuk%20Acosta,,Author of One Business from Barcelona blog,,,,
First Momentum Ventures,TRUE,./images/funds/recH5m8UW5yJUsCeb.jpg,logos/First_Momentum_Ventures.jpg,https://www.linkedin.com/company/firstmomentum,https://firstmomentum.vc/,"We are a VC fund for Pre-Seed, Seed companies mainly looking into B2B, Industrial Tech, and Deep Tech startups. We have made over 40 investments in the last years, of which over 75% raised follow-on rounds with international top VCs. We invest between €200k and €1m as a ""First Check"" investor and collab","We accelerate our companies' journeys with high-value connections to talent, customers and investors.",VC,"Karlsruhe, Germany

Munich, Germany","Munich, Germany",,,,,"We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in Deep Tech, SaaS and SaaS-enabled marketplaces.",1. Idea or Patent,Sometimes,200000,1000000,$200k to $1M,Albania; Andorra; Austria; Belgium; Bosnia-H; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Georgia; Germany; Greece; Hungary; Iceland; Ireland; Italy; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Moldova; Monaco; Montenegro; Netherlands; North Macedonia; Norway; Poland; Portugal; Romania; San Marino; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK,Max Dütting (Scout); Lena Späth (Portfolio Success); Mikhail Sidakov (Scout),1,fund/First%20Momentum%20Ventures,https://www.twitter.com/_firstmomentum,,,,,
Fikra Ventures,TRUE,./images/funds/recazpDIPQsurlQvv.jpg,logos/Fikra_Ventures.jpg,https://www.linkedin.com/company/fikra-ventures,https://www.fikra.ventures,"Fikra Ventures is a UAE-based AI venture studio and commercialization partner. We help global AI companies expand into MENA (UAE/KSA/GCC) via local partnerships, pilots, and enterprise/B2G go-to-market, and selectively co-build new AI ventures.","MENA market entry: UAE/KSA playbook, positioning, pricing, localization where needed
Commercialization: design partners → pilots → enterprise/government contracts
Partnerships: introductions to strategic buyers, corporates, and government stakeholders
Procurement navigation: regulated sales cycles, security/data requirements, contracting workflow
Execution support: product/GTM support to accelerate time-to-revenue in-region
Regional scale: expand from UAE to KSA/GCC once early traction is proven",Startup studio,"Level 15, WeWork Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates",,,,,,"Fikra Ventures is a UAE-based AI venture studio and commercialization partner. We do two things:

1. 0→1 Venture Building: We partner with exceptional founders to ideate, validate, and build AI-native companies from zero to one (Build → Pilot → First revenue → Scale), providing hands-on product, engineering, and go-to-market support.

2. MENA Expansion / Soft Landing: We partner with high-quality AI companies outside MENA that want a local operating partner to enter and scale in the GCC (UAE/KSA) through design partners, pilots, enterprise/B2G sales, procurement navigation, and strategic partnerships.

We focus on AI-native B2B and B2G in regulated and mission-critical environments across: GovTech & Public Safety, Financial Services/RegTech, Logistics & Industrial Infrastructure, and Healthcare.

Keywords for discovery: AI venture studio, venture builder, co-build, zero to one, 0→1, MVP, pilots, design partners, enterprise AI, B2B AI, B2G, GovTech, public safety, RegTech, FinTech infrastructure, KYC/AML, fraud, risk, logistics AI, supply chain resilience, industrial AI, critical infrastructure, healthcare AI, GCC expansion, MENA market entry, UAE go-to-market, Saudi go-to-market, soft landing, regional partner, procurement.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,,250000,2000000,$250k to $2M,UAE; Saudi Arabia; Egypt,Bilal Helmy (Analyst); Wael Aburida (Partner); Basma Aburida (Partner); David Herbada (Partner),1,fund/Fikra%20Ventures,,,All year round,"Deals are flexible, but typically fall into two buckets: 1. Market-entry / soft-landing partnerships Strategic partnership to drive UAE/KSA commercialization Often includes minority investment and/or a regional JV structure Emphasis on pilot-to-contract conversion and measurable GTM milestones 2. Venture studio builds Co-build from concept → pilot → spin-out when the opportunity is strong and regionally advantaged Deeper operating involvement from our team",,
Cusp Capital,TRUE,./images/funds/rec9gJQGxciLB0syq.jpg,logos/Cusp_Capital.jpg,https://www.linkedin.com/company/cuspcapital,https://www.cuspcapital.com/,We invest in European early-stage companies leading this decade of software and sustainability redefining every industry - Industry agnostic approach with initial investment in range of 1-7m EUR after companies have launched a first product.,"Beyond our core Investment team we have dedicated people with long-term experience in Finance, HR, ESG and Communications ready to provide support and expertise.",VC,"Rüttenscheider Strasse 62, 45130 Essen, Germany

Linienstraße 214. 10119 Berlin, Germany

+
−
Leaflet","Linienstraße 214. 10119 Berlin, Germany",,,,,"We invest in early stage companies based in Continental Europe, no Hardware companies / products.

Our investment activities focus on for core thesis, see detailed descriptions at https://www.cuspcapital.com/",3. Early Revenue; 4. Scaling,,1000000,10000000,$1M to $10M,Austria; Belgium; Finland; France; Germany; Netherlands; Norway; Poland; Portugal; Spain; Sweden; Switzerland,Jan Sessenhausen (GP/MD),1,fund/Cusp%20Capital,,,,,,
Venture Studio from Crisis,TRUE,./images/funds/recqpAE67WhWHjUf6.jpg,logos/Venture_Studio_from_Crisis.jpg,https://www.linkedin.com/showcase/venture-studio-from-crisis,https://www.crisis.org.uk/get-involved/venture-studio/venture-studio/about,"Venture Studio from Crisis is an initiative by Crisis, a UK-based homelessness charity. It aims to develop, support, and scale innovative ventures that create solutions to end homelessness. The studio collaborates with entrepreneurs, provides funding, and offers resources to drive impactful ventures in this space.",#NAME?,Corporate VC,"66 Commercial St, London E1 6LT

+
−
Leaflet",,,,,,"We invest in UK-based proptech, geospatial, and plantech startups that can tackle the causes or consequences of homelessness.",3. Early Revenue,Never,25000,200000,$25k to $200k,UK,Kevin Fay (Portfolio Success),1,fund/Venture%20Studio%20from%20Crisis,https://www.twitter.com/VSfromCrisis,,,,,
HTGF High-Tech Gründerfonds,TRUE,./images/funds/rectoRcYjkV5yvPS2.jpg,logos/HTGF_HighTech_Gründerfonds.jpg,https://www.linkedin.com/company/high-tech-gruenderfonds/,https://www.htgf.de/en/,"HTGF is Germany's largest seed investor for high-tech startups, with over €2 billion under management. As a public-private partnership, it offers more than just capital - providing expertise, networking, and support from seed to exit. HTGF has invested in over 750 startups across various tech sectors, achieving 180+ successful exits.","HTGF offers more than just capital to high-tech startups. As a public-private partnership, it provides expertise, networking, and support from seed to exit. HTGF's extensive industry connections, experienced team, and tailored assistance in areas like strategy, fundraising, and scaling create a powerful platform for startup success.",VC,"Schlegelstraße 2, Bonn, Nordrhein-Westfalen 53113, DE

Münzstr. 15, Berlin, Berlin, 10178 Berlin, DE

+
−
Leaflet","Münzstr. 15, Berlin, Berlin, 10178 Berlin, DE",,,,,"We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture should not be older than 3 years (since incorporation) and have a distinct focus on the German market.",2. Prototype; 3. Early Revenue,,300000,1000000,$300k to $1M,Austria; Belgium; Denmark; Finland; France; Germany; Italy; Netherlands; Spain; Sweden; Switzerland,Martin Möllmann (Sr Associate),1,fund/HTGF%20High-Tech%20Gr%C3%BCnderfonds,,,,,,
Flashpoint VC,TRUE,./images/funds/rectHsH4MBIbOyVNY.jpg,logos/Flashpoint_VC.jpg,https://www.linkedin.com/company/flashpointvc,https://flashpointvc.com/,"Flashpoint believes in building efficient companies. We found that Central European and Israeli founders typically require much less capital to build a long-lasting mature company. We focus on global companies, with meaningful European back-office presence, typically represented by R&D and Europe-centric support functions.

FP VC is a global technology investment firm managing over $400M across five funds. We offer three distinct investment products: venture capital, growth debt, and secondary investments.","Flashpoint is a lead or co-lead investor aiming for meaningful minority company ownership (10-25%). We help with fundraising, strategy, financial, building go-to-market growth strategy as well as assist with hiring and interview executive team members.

Our primary focus is partnering with exceptional B2B SaaS founders from Europe and Israel who are building global businesses, regardless of their current location.",VC,"64 New Cavendish Street, London, United Kingdom

500 7th Avenue, New York

Tel-Aviv office

Budapest office

Warsaw office

Riga office

+
−
Leaflet","500 7th Avenue, New York",Tel-Aviv office,Budapest office,Warsaw office,Riga office,"We invest in Late Seed to Series A rounds.

* Target Profile: Companies with $1M-$5M ARR, demonstrating 2x+ YoY growth
* Ticket Size: $1M-$5M (we're comfortable leading rounds)
* Geographic Focus: European and Israeli founders building global businesses
* Sector: B2B SaaS across all industries (excluding gaming, hardware, biotech, life sciences, and crypto)",3. Early Revenue; 4. Scaling; 5. Growth,Always,1000000,5000000,$1M to $5M,USA; Ukraine; UK; UAE; Turkey; Taiwan; Switzerland; Spain; Slovenia; Slovakia; Singapore; Russia; Romania; Portugal; Poland; Norway; Netherlands; Moldova; Lithuania; Luxembourg; Liechtenstein; Latvia; Italy; Israel; Ireland; Hungary; Germany; France; Finland; Czech Republic; Cyprus; Croatia; China; Bulgaria; Bolivia; Belgium; Belarus; Austria; Australia; Albania,Marton Medveczky (Principal); Paul Zoicas (Scout); Anton Fedorov (Partner); Randor Falconer (Scout),1,fund/Flashpoint%20VC,https://www.twitter.com/flashpoint,,,,,
Alzayani Investments,TRUE,./images/funds/recLnNA7aHlrEFYux.jpg,logos/Alzayani_Investments.jpg,https://www.linkedin.com/company/al-zayani-investments/,https://www.alzayani.com/businesses/venture/zayani-venture,"We are a well established family office in Bahrain - with 4 main verticals: Automotive, Industrials, F&B and Real Estate / Investments.","We take a strategic approach to investing, backing companies whose products and services we can adopt across our own verticals, while leveraging our extensive MENA network to facilitate client and investor introductions.",Family office,"Zayani House, Manama, BH",,,,,,"We invest in early-stage startups across MENA, UK, USA and Pakistan. We are sector agnostic and invest in any tech-focused startups.",3. Early Revenue,Never,25000,250000,$25k to $250k,Bahrain; UAE; Saudi Arabia; Oman; Kuwait; Qatar; Egypt; UK; USA; Pakistan,Meera Reddy (Associate),2,fund/Alzayani%20Investments,,,,,,
Pipeline Capital,TRUE,./images/funds/recB23vNaPuXbbadY.jpg,logos/Pipeline_Capital.jpg,https://au.linkedin.com/company/pipe-capital,https://www.pipecapital.com,We are a QLD based Venture Fund that is primarily investing in Australian (QLD) startups. We invest across a diverse set of industries with large addressable markets.,We have have a network of founders as our LP's to help our portfolio companies navigate the startup landscape and give them the advice and help they need to succeed. Our investment comes with decades of startup experience wanting to help build the next big thing.,VC,"37 Connor St, Burleigh Heads, QLD 4220, Australia

+
−
Leaflet",,,,,,"We invest across fintech, IoT, SaaS, eCommerce, and other technologies and prefer companies that have already seen product market fit, with experienced founders.",3. Early Revenue; 4. Scaling; 5. Growth; 2. Prototype,Sometimes,100000,1000000,$100k to $1M,Australia,Gregg Thatcher (Principal); Veronika Marinova (Associate),2,fund/Pipeline%20Capital%20,,,,,,
UVC Partners,TRUE,./images/funds/recpL9XJagWdEd6bW.jpg,logos/UVC_Partners.jpg,https://www.linkedin.com/company/uvc-partners/,https://www.uvcpartners.com/,"UVC Partners is a leading venture capital firm investing in European B2B tech startups. With over €700 million in assets under management, we typically invest in DeepTech, ClimateTech, Mobility, and Software/AI.","All portfolio companies benefit from the team’s extensive investment and exit experience, their ability to build sustainable category leaders, and the UnternehmerTUM (Europe’s largest startup ecosystem) network, enabling them to speed up market entry.",VC,"Lichtenbergstr. 6 85748 Garching bei Munchen, Germany

Freddie-Mercury-Str. 5 80797 Munich, Germany

Friedrichstr. 68 10117 Berlin, Germany

+
−
Leaflet","Freddie-Mercury-Str. 5 80797 Munich, Germany","Friedrichstr. 68 10117 Berlin, Germany",,,,"We invest in early-stage B2B tech startups in Europe in the fields of DeepTech, ClimateTech, Mobility, and Software/AI.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,500000,10000000,$500k to $10M,Austria; Belgium; Denmark; Finland; France; Germany; Ireland; Italy; Latvia; Liechtenstein; Lithuania; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Spain; Sweden; Switzerland; UK; Ukraine,Niclas Centner (Analyst),2,fund/UVC%20Partners,,,,,,
Senovo,TRUE,./images/funds/recaksqBrs7hlIbj2.jpg,logos/Senovo.jpg,https://www.linkedin.com/company/senovovc/,https://www.senovo.vc/,We are a Venture Capital fund backing exceptional founders building global B2B SaaS category leaders from Europe.,We do support our portfolio companies when it comes to go to market and international expansion.,VC,"Leopoldstr 23, Munich, Bayern 80802, DE

+
−
Leaflet",,,,,,"We invest in exceptional founders building global B2B SaaS category leaders from Europe.

As a European first-mover, the fund invests since 2013 into a new generation of B2B software startups that enable the digitalization of medium and large enterprises. Their focus is primarily on supporting teams working in the areas of process optimization, industry 4.0, and data-enabled solutions.

Senovo joins the journey after a company has first revenues in a late Seed or Series A round. Their team of SaaS specialists seeks meaningful eye-level relationships and regularly publishes their learnings and thought leadership at www.medium.com/senovovc.",3. Early Revenue; 4. Scaling,Sometimes,1000000,3000000,$1M to $3M,Austria; Belgium; Croatia; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Netherlands; Norway; Poland; Portugal; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine; Israel,Alberto Giovannetti (Analyst),2,fund/Senovo,,,,,,
